combination,num_trades,total_pnl,avg_pnl,winrate,hits,misses,error
"{'rsi': 0.1, 'macd': 0.1, 'obv': 0.7}",45635,-40596.01999999981,-0.8895808042072928,0.44641174537087763,20372,25263,
"{'rsi': 0.1, 'macd': 0.2, 'obv': 0.5}",45799,-40780.59999999981,-0.8904255551431213,0.44645079586890546,20447,25352,
"{'rsi': 0.1, 'macd': 0.3, 'obv': 0.3}",46360,-42066.8199999998,-0.907394736842101,0.44544866264020705,20651,25709,
"{'rsi': 0.1, 'macd': 0.4, 'obv': 0.1}",49113,-48762.06999999979,-0.9928546413373198,0.43856005538248527,21539,27574,
"{'rsi': 0.1, 'macd': 0.4, 'obv': 0.9}",45506,-40936.729999999814,-0.899589724431939,0.4466883487891707,20327,25179,
"{'rsi': 0.1, 'macd': 0.5, 'obv': 0.7}",45654,-40520.29999999981,-0.8875520217286504,0.44640119157138475,20380,25274,
"{'rsi': 0.1, 'macd': 0.6, 'obv': 0.5}",45826,-41008.08999999981,-0.8948651420590888,0.4463186837166674,20453,25373,
"{'rsi': 0.1, 'macd': 0.7, 'obv': 0.3}",46433,-42237.249999999796,-0.9096386190855598,0.4451144660047811,20668,25765,
"{'rsi': 0.1, 'macd': 0.8, 'obv': 0.1}",49298,-49427.62999999979,-1.0026295184388776,0.4379488011684044,21590,27708,
"{'rsi': 0.1, 'macd': 0.8, 'obv': 0.9}",45519,-40963.479999999814,-0.8999204727696086,0.4466266833629913,20330,25189,
"{'rsi': 0.1, 'macd': 0.9, 'obv': 0.7}",45669,-40447.9899999998,-0.8856771551818476,0.44649543453984103,20391,25278,
"{'rsi': 0.1, 'macd': 1, 'obv': 0.5}",45867,-41071.62999999981,-0.8954505417838491,0.44635576776331565,20473,25394,
"{'rsi': 0.2, 'macd': 0.1, 'obv': 0.3}",47765,-44143.04999999981,-0.9241714644614217,0.44216476499528945,21120,26645,
"{'rsi': 0.2, 'macd': 0.2, 'obv': 0.9}",45929,-41331.939999999806,-0.899909425417488,0.4462757734764528,20497,25432,
"{'rsi': 0.2, 'macd': 0.3, 'obv': 0.7}",46211,-41512.509999999806,-0.8983252905152411,0.44549998918006534,20587,25624,
"{'rsi': 0.2, 'macd': 0.4, 'obv': 0.5}",46718,-42466.94999999981,-0.9090061646474551,0.44483924825549037,20782,25936,
"{'rsi': 0.2, 'macd': 0.5, 'obv': 0.3}",47820,-44059.10999999981,-0.921353199498114,0.4422417398578001,21148,26672,
"{'rsi': 0.2, 'macd': 0.6, 'obv': 0.9}",45955,-41225.3399999998,-0.8970806223479447,0.44621912740724623,20506,25449,
"{'rsi': 0.2, 'macd': 0.7, 'obv': 0.7}",46236,-41567.619999999806,-0.8990314906133706,0.4454970153127433,20598,25638,
"{'rsi': 0.2, 'macd': 0.8, 'obv': 0.5}",46746,-42532.439999999806,-0.9098626620459463,0.4447011509006118,20788,25958,
"{'rsi': 0.2, 'macd': 0.9, 'obv': 0.3}",47866,-44401.62999999981,-0.9276235741444827,0.44213011323277485,21163,26703,
"{'rsi': 0.2, 'macd': 1, 'obv': 0.9}",45970,-41270.649999999805,-0.8977735479660606,0.44609527953012834,20507,25463,
"{'rsi': 0.3, 'macd': 0.1, 'obv': 0.7}",46833,-42395.40999999981,-0.9052465142100614,0.44468643904938826,20826,26007,
"{'rsi': 0.3, 'macd': 0.2, 'obv': 0.5}",47535,-43479.789999999804,-0.9146900178815568,0.44247396655096244,21033,26502,
"{'rsi': 0.3, 'macd': 0.3, 'obv': 0.3}",49301,-49134.14999999979,-0.9966156873085696,0.43810470375854443,21599,27702,
"{'rsi': 0.3, 'macd': 0.4, 'obv': 0.9}",46462,-41929.4599999998,-0.9024463002023116,0.4452670999956954,20688,25774,
"{'rsi': 0.3, 'macd': 0.5, 'obv': 0.7}",46854,-42627.2399999998,-0.9097887053399881,0.44472190207879797,20837,26017,
