combination,num_trades,total_pnl,avg_pnl,winrate,hits,misses,error
"{'rsi': 0.4, 'macd': 0.2, 'cci': 0.1}",29418,-48340.00000000001,-1.6432116391325042,0.44479570331089807,13085,16333,
"{'rsi': 0.4, 'macd': 0.6, 'cci': 0.1}",29411,-48425.54000000002,-1.6465111692904024,0.44476556390466154,13081,16330,
"{'rsi': 0.4, 'macd': 1, 'cci': 0.1}",29402,-48371.37000000002,-1.6451727773620848,0.44476566219985036,13077,16325,
"{'rsi': 0.5, 'macd': 0.4, 'cci': 0.1}",14977,-33286.48000000012,-2.2225065099819803,0.4335981838819523,6494,8483,
"{'rsi': 0.5, 'macd': 0.8, 'cci': 0.1}",14974,-33286.65000000012,-2.2229631361025857,0.43355148924802994,6492,8482,
"{'rsi': 0.6, 'macd': 0.2, 'cci': 0.1}",7711,-23012.960000000014,-2.984432628712231,0.41797432239657634,3223,4488,
"{'rsi': 0.6, 'macd': 0.6, 'cci': 0.1}",7710,-23016.810000000016,-2.985319066147862,0.4178988326848249,3222,4488,
"{'rsi': 0.6, 'macd': 1, 'cci': 0.1}",7710,-23016.810000000016,-2.985319066147862,0.4178988326848249,3222,4488,
"{'rsi': 0.7, 'macd': 0.4, 'cci': 0.1}",4139,-14151.019999999917,-3.418946605460236,0.4054119352500604,1678,2461,
"{'rsi': 0.7, 'macd': 0.8, 'cci': 0.1}",4139,-14151.019999999917,-3.418946605460236,0.4054119352500604,1678,2461,
"{'rsi': 0.8, 'macd': 0.2, 'cci': 0.1}",2323,-9406.830000000049,-4.049431769263904,0.40464916056823075,940,1383,
"{'rsi': 0.8, 'macd': 0.6, 'cci': 0.1}",2323,-9406.830000000049,-4.049431769263904,0.40464916056823075,940,1383,
"{'rsi': 0.8, 'macd': 1, 'cci': 0.1}",2323,-9406.830000000049,-4.049431769263904,0.40464916056823075,940,1383,
"{'rsi': 0.9, 'macd': 0.4, 'cci': 0.1}",1343,-3628.7600000000552,-2.70198064035745,0.39612807148175727,532,811,
"{'rsi': 0.9, 'macd': 0.8, 'cci': 0.1}",1343,-3628.7600000000552,-2.70198064035745,0.39612807148175727,532,811,
"{'rsi': 1, 'macd': 0.1, 'cci': 0.3}",49136,-58282.679999999746,-1.1861502767828018,0.45779062194724846,22494,26642,
"{'rsi': 1, 'macd': 0.2, 'cci': 0.1}",783,-4553.490000000046,-5.815440613026879,0.39208173690932313,307,476,
"{'rsi': 1, 'macd': 0.5, 'cci': 0.3}",49125,-58268.32999999974,-1.1861237659033026,0.45785241730279896,22492,26633,
"{'rsi': 1, 'macd': 0.6, 'cci': 0.1}",783,-4553.490000000046,-5.815440613026879,0.39208173690932313,307,476,
"{'rsi': 1, 'macd': 0.9, 'cci': 0.3}",49115,-58445.979999999734,-1.189982286470523,0.45786419627405067,22488,26627,
"{'rsi': 1, 'macd': 1, 'cci': 0.1}",783,-4553.490000000046,-5.815440613026879,0.39208173690932313,307,476,
"{'rsi': 0.4, 'bollinger': 0.2, 'cci': 0.1}",29138,-47054.37999999998,-1.6148802251355612,0.44491729013659137,12964,16174,
"{'rsi': 0.4, 'bollinger': 0.6, 'cci': 0.1}",28534,-47834.00000000003,-1.6763860657461285,0.4457489310997407,12719,15815,
"{'rsi': 0.4, 'bollinger': 1, 'cci': 0.1}",27919,-47738.00000000006,-1.7098749955227643,0.44578960564490133,12446,15473,
"{'rsi': 0.5, 'bollinger': 0.4, 'cci': 0.1}",14265,-33526.62000000011,-2.350271293375402,0.43294777427269543,6176,8089,
"{'rsi': 0.5, 'bollinger': 0.8, 'cci': 0.1}",13579,-31081.35000000006,-2.288927756093973,0.4351572280727594,5909,7670,
"{'rsi': 0.6, 'bollinger': 0.2, 'cci': 0.1}",7480,-21938.87999999997,-2.9330053475935784,0.41858288770053476,3131,4349,
"{'rsi': 0.6, 'bollinger': 0.6, 'cci': 0.1}",7007,-20847.469999999903,-2.9752347652347515,0.4207221350078493,2948,4059,
"{'rsi': 0.6, 'bollinger': 1, 'cci': 0.1}",6566,-19807.069999999912,-3.0166113310995906,0.41836734693877553,2747,3819,
"{'rsi': 0.7, 'bollinger': 0.4, 'cci': 0.1}",3856,-13028.34999999994,-3.3787214730290303,0.404045643153527,1558,2298,
"{'rsi': 0.7, 'bollinger': 0.8, 'cci': 0.1}",3621,-12172.22999999997,-3.3615658657829246,0.4048605357636012,1466,2155,
"{'rsi': 0.8, 'bollinger': 0.2, 'cci': 0.1}",2243,-9276.980000000049,-4.135969683459674,0.4039233169861792,906,1337,
