Datum,Typ,Menge,Preis,BTC,USD
2025-06-12T10:43:45.638339,BUY,0.019584,10212.39,0.019584,9800.00
2025-06-12T10:43:45.691851,SELL,0.009792,10209.74,0.009792,9899.97
2025-06-12T10:43:45.745172,SELL,0.004896,10317.22,0.004896,9950.49
2025-06-12T10:43:45.802926,SELL,0.002448,10430.26,0.002448,9976.02
2025-06-12T10:43:45.855466,SELL,0.001224,10605.21,0.001224,9989.00
2025-06-12T10:43:45.908482,SELL,0.000612,10605.60,0.000612,9995.49
2025-06-12T10:43:45.960939,SELL,0.000306,10638.60,0.000306,9998.75
2025-06-12T10:43:46.013205,SELL,0.000153,10600.31,0.000153,10000.37
2025-06-12T10:43:46.069457,SELL,0.000077,10524.67,0.000077,10001.17
2025-06-12T10:43:46.122859,BUY,0.018934,10563.06,0.019010,9801.17
2025-06-12T10:43:46.175433,BUY,0.019199,10417.15,0.038210,9601.17
2025-06-12T10:43:46.227881,BUY,0.019309,10357.74,0.057519,9401.17
2025-06-12T10:43:46.280329,BUY,0.019536,10237.74,0.077054,9201.17
2025-06-12T10:43:46.335966,BUY,0.019513,10249.71,0.096567,9001.17
2025-06-12T10:43:46.387627,BUY,0.019458,10278.79,0.116025,8801.17
2025-06-12T10:43:46.439393,SELL,0.058012,10372.27,0.058012,9402.89
2025-06-12T10:43:46.490837,SELL,0.029006,10458.72,0.029006,9706.26
2025-06-12T10:43:46.542391,SELL,0.014503,10399.20,0.014503,9857.08
2025-06-12T10:43:46.593949,BUY,0.019231,10399.80,0.033734,9657.08
2025-06-12T10:43:46.645388,BUY,0.019312,10356.43,0.053046,9457.08
