timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1675209600000,23125.13,23168.9,23123.01,23133.11,1152.26389,1675209899999,26668005.9400932,28606,604.26599,13985952.4458476,0
1675209900000,23133.11,23136.9,23059.9,23067.9,1990.33791,1675210199999,45961541.9670303,39794,841.33144,19426640.6315156,0
1675210200000,23069.69,23095.0,23037.43,23092.98,1340.83186,1675210499999,30933059.7534504,31666,683.05636,15758635.9926534,0
1675210500000,23092.25,23094.92,23067.37,23075.56,774.21672,1675210799999,17870029.6247447,23308,371.76567,8581082.5662409,0
1675210800000,23074.33,23092.57,23065.29,23088.68,700.06222,1675211099999,16158573.827144,20949,363.80137,8397402.8388991,0
1675211100000,23087.33,23090.96,23030.67,23044.19,788.05759,1675211399999,18170419.9955173,23189,370.76613,8549248.7887002,0
1675211400000,23042.67,23066.5,22997.1,23052.37,1399.00778,1675211699999,32219752.8649786,34232,651.65574,15009883.122786,0
1675211700000,23051.14,23074.37,23043.27,23069.84,725.39018,1675211999999,16728572.1473911,22088,368.9832,8509569.7666581,0
1675212000000,23071.26,23090.0,23065.32,23077.61,830.85726,1675212299999,19173828.858858,22557,402.01006,9277603.4398364,0
1675212300000,23077.99,23102.34,23073.02,23099.46,722.72118,1675212599999,16688853.3847862,20732,416.00118,9606474.5153121,0
1675212600000,23099.34,23115.25,23082.96,23088.44,990.75955,1675212899999,22887513.1483922,24490,506.78027,11707495.8781535,0
1675212900000,23088.44,23102.0,23074.71,23085.73,707.13405,1675213199999,16325711.9633066,19147,340.01226,7850187.2763308,0
1675213200000,23085.36,23106.16,23081.39,23091.88,756.3205,1675213499999,17467796.1151163,19861,431.46155,9965279.1334373,0
1675213500000,23092.78,23115.0,23085.05,23108.87,603.90348,1675213799999,13949349.5878817,16545,318.65129,7360594.6635651,0
1675213800000,23109.67,23120.0,23095.88,23112.66,696.26009,1675214099999,16089783.5241317,19855,359.7423,8313366.2579454,0
1675214100000,23113.4,23119.15,23081.22,23088.24,628.46694,1675214399999,14518059.9675721,18517,301.69545,6969530.2095551,0
1675214400000,23087.1,23097.68,23068.05,23072.53,837.41218,1675214699999,19326701.8714498,21612,406.16858,9374165.5575821,0
1675214700000,23072.56,23082.06,23055.25,23062.38,885.58956,1675214999999,20429897.9789029,21993,424.32828,9789459.0576999,0
1675215000000,23062.12,23089.66,23057.45,23081.24,523.72864,1675215299999,12084908.7573062,17606,278.20284,6419458.3745023,0
1675215300000,23081.24,23133.95,23081.24,23126.16,1139.88494,1675215599999,26349214.439222,27169,642.23873,14846174.5750769,0
1675215600000,23127.11,23161.33,23119.18,23155.83,981.46017,1675215899999,22713639.917383,24591,539.54478,12486883.2608586,0
1675215900000,23156.77,23184.29,23137.23,23156.54,1153.51201,1675216199999,26718949.5167573,27181,583.3534,13512513.2005483,0
1675216200000,23157.21,23157.68,23118.89,23123.67,731.51876,1675216499999,16925158.5237189,19078,318.16657,7361325.6898186,0
1675216500000,23122.93,23136.5,23115.21,23123.09,574.28978,1675216799999,13279751.6395822,16742,289.54416,6695575.5133761,0
1675216800000,23123.1,23130.93,23104.87,23114.4,607.99254,1675217099999,14052831.2796152,15945,294.2734,6801947.0595618,0
1675217100000,23114.4,23120.0,23097.92,23103.78,697.33278,1675217399999,16113070.2880578,16433,327.82395,7575240.6504701,0
1675217400000,23102.61,23105.7,23091.67,23096.31,483.77761,1675217699999,11174500.7278385,13093,236.85985,5471169.1542047,0
1675217700000,23096.3,23108.73,23082.01,23085.3,703.9213,1675217999999,16256412.1699523,16318,338.54087,7818554.6804382,0
1675218000000,23085.3,23103.32,23078.5,23089.41,726.95117,1675218299999,16784621.3337465,18113,371.46406,8576928.9106961,0
1675218300000,23088.68,23098.53,23080.44,23086.21,528.08614,1675218599999,12192941.9190044,14515,247.3225,5710538.5382149,0
1675218600000,23086.92,23113.07,23078.68,23108.79,686.74733,1675218899999,15864545.3853533,17723,350.9928,8108472.399976,0
1675218900000,23108.79,23114.97,23093.19,23096.38,602.20536,1675219199999,13913997.8993844,16744,291.70442,6740075.9184616,0
1675219200000,23095.52,23110.64,23086.92,23089.15,559.99516,1675219499999,12936393.1330352,15603,281.7999,6509977.397756,0
1675219500000,23089.63,23099.24,23083.29,23085.35,480.42528,1675219799999,11093054.542387,14052,239.66062,5533920.5123785,0
1675219800000,23085.83,23104.18,23080.8,23101.83,430.45263,1675220099999,9938271.9520835,13836,234.16252,5406552.3384243,0
