Filter-Kombination,Anzahl Trades,ROI Gesamt (%),Endkapital ($)
RSI + MA200 + BOLL + MACD,961,-120.74,-2073.99
RSI + MA200 + MACD,1049,-127.08,-2708.33
RSI + BOLL + MACD,1763,-173.78,-7378.47
RSI + MACD,1894,-184.47,-8446.51
MA200 + BOLL + MACD,1274,-190.86,-9086.17
MA200 + MACD,1534,-198.74,-9873.57
RSI + MA200 + BOLL,2275,-207.05,-10705.04
RSI + MA200,2413,-216.4,-11640.31
MA200 + BOLL,2666,-238.42,-13841.5
BOLL + MACD,2135,-245.36,-14535.63
MACD,2448,-272.77,-17277.3
MA200,2994,-284.42,-18442.4
RSI + BOLL,3701,-336.33,-23632.96
RSI,3936,-357.85,-25784.78
BOLL,4259,-389.25,-28925.13
